city_avg_temp,city_MA,global_avg_temp,global_MA,year
26.53,,8.27,,1796
27.48,,8.51,,1797
26.2,,8.67,,1798
26.84,,8.51,,1799
26.88,,8.48,,1800
26.05,,8.59,,1801
27.44,,8.58,,1802
27.22,,8.5,,1803
27.65,,8.84,,1804
27.02,26.931,8.56,8.551,1805
26.89,26.967,8.43,8.567,1806
26.15,26.834,8.28,8.544,1807
,26.9044444444444,7.63,8.44,1808
,26.9125,7.08,8.297,1809
,26.9171428571429,6.92,8.141,1810
,27.0616666666667,6.86,7.968,1811
,26.986,7.05,7.815,1812
26.25,26.792,7.74,7.739,1813
25.65,26.392,7.59,7.614,1814
25.8,26.148,7.24,7.482,1815
25.38,25.846,6.94,7.333,1816
25.61,25.738,6.98,7.203,1817
25.83,25.7533333333333,7.83,7.223,1818
25.78,25.7571428571429,7.37,7.252,1819
25.88,25.7725,7.62,7.322,1820
26.45,25.8477777777778,8.09,7.445,1821
26.43,25.906,8.19,7.559,1822
26.65,25.946,7.72,7.557,1823
27.1,26.091,8.55,7.653,1824
26.72,26.183,8.39,7.768,1825
26.89,26.334,8.36,7.91,1826
26.73,26.446,8.81,8.093,1827
26.63,26.526,8.17,8.127,1828
26.47,26.595,7.94,8.184,1829
26.45,26.652,8.52,8.274,1830
26.41,26.648,7.64,8.229,1831
26.63,26.668,7.45,8.155,1832
26.5,26.653,8.01,8.184,1833
26.56,26.599,8.15,8.144,1834
25.8,26.507,7.39,8.044,1835
26.19,26.437,7.7,7.978,1836
26.24,26.388,7.38,7.835,1837
26.33,26.358,7.51,7.769,1838
26.34,26.345,7.63,7.738,1839
26.44,26.344,7.8,7.666,1840
26.12,26.315,7.69,7.671,1841
26.27,26.279,8.02,7.728,1842
26.01,26.23,8.17,7.744,1843
26.08,26.182,7.65,7.694,1844
26.39,26.241,7.85,7.74,1845
26.82,26.304,8.55,7.825,1846
26.31,26.311,8.09,7.896,1847
26.32,26.31,7.98,7.943,1848
26.26,26.302,7.98,7.978,1849
26.47,26.305,7.9,7.988,1850
26.45,26.338,8.18,8.037,1851
26.4,26.351,8.1,8.045,1852
26.7,26.42,8.04,8.032,1853
26.79,26.491,8.21,8.088,1854
26.81,26.533,8.11,8.114,1855
26.24,26.475,8,8.059,1856
25.82,26.426,7.76,8.026,1857
26.6,26.454,8.1,8.038,1858
26.6,26.488,8.25,8.065,1859
26.41,26.482,7.96,8.071,1860
26.26,26.463,7.85,8.038,1861
24.38,26.261,7.56,7.984,1862
,26.2122222222222,8.11,7.991,1863
,26.14,7.98,7.968,1864
26.96,26.15875,8.18,7.975,1865
26.97,26.25,8.29,8.004,1866
26.91,26.38625,8.44,8.072,1867
26.8,26.41125,8.25,8.087,1868
26.78,26.43375,8.43,8.105,1869
26.45,26.43875,8.2,8.129,1870
26.59,26.48,8.12,8.156,1871
26.54,26.75,8.19,8.219,1872
26.6,26.7333333333333,8.35,8.243,1873
26.57,26.717,8.43,8.288,1874
26.6,26.681,7.86,8.256,1875
26.9,26.674,8.08,8.235,1876
27.22,26.705,8.54,8.245,1877
27.34,26.759,8.83,8.303,1878
26.29,26.71,8.17,8.277,1879
26.71,26.736,8.12,8.269,1880
26.61,26.738,8.27,8.284,1881
26.52,26.736,8.13,8.278,1882
26.28,26.704,7.98,8.241,1883
26.18,26.665,7.77,8.175,1884
26.53,26.658,7.92,8.181,1885
26.51,26.619,7.95,8.168,1886
26.28,26.525,7.91,8.105,1887
26.81,26.472,8.09,8.031,1888
26.89,26.532,8.32,8.046,1889
26.69,26.53,7.97,8.031,1890
27,26.569,8.02,8.006,1891
26.79,26.596,8.07,8,1892
25.9,26.558,8.06,8.008,1893
26.75,26.615,8.16,8.047,1894
26.63,26.625,8.15,8.07,1895
27.44,26.718,8.21,8.096,1896
27.6,26.85,8.29,8.134,1897
26.89,26.858,8.18,8.143,1898
27.19,26.888,8.4,8.151,1899
27.65,26.984,8.5,8.204,1900
27.01,26.985,8.54,8.256,1901
27.38,27.044,8.3,8.279,1902
26.73,27.127,8.22,8.295,1903
26.68,27.12,8.09,8.288,1904
26.92,27.149,8.23,8.296,1905
27.1,27.115,8.38,8.313,1906
26.67,27.022,7.95,8.279,1907
26.65,26.998,8.19,8.28,1908
26.77,26.956,8.18,8.258,1909
26.61,26.852,8.22,8.23,1910
27.03,26.854,8.18,8.194,1911
27.15,26.831,8.17,8.181,1912
27.03,26.861,8.3,8.189,1913
26.75,26.868,8.59,8.239,1914
27.01,26.877,8.59,8.275,1915
26.66,26.833,8.23,8.26,1916
25.93,26.759,8.02,8.267,1917
26.76,26.77,8.13,8.261,1918
27.05,26.798,8.38,8.281,1919
27.24,26.861,8.36,8.295,1920
26.94,26.852,8.57,8.334,1921
26.85,26.822,8.41,8.358,1922
26.93,26.812,8.42,8.37,1923
27.13,26.85,8.51,8.362,1924
26.56,26.805,8.53,8.356,1925
27.13,26.852,8.73,8.406,1926
27.25,26.984,8.52,8.456,1927
27.19,27.027,8.63,8.506,1928
27.2,27.042,8.24,8.492,1929
27.03,27.021,8.63,8.519,1930
27.11,27.038,8.72,8.534,1931
26.66,27.019,8.71,8.564,1932
26.36,26.962,8.34,8.556,1933
26.72,26.921,8.63,8.568,1934
26.98,26.963,8.52,8.567,1935
27.09,26.959,8.55,8.549,1936
26.85,26.919,8.7,8.567,1937
26.68,26.868,8.86,8.59,1938
26.85,26.833,8.76,8.642,1939
26.72,26.802,8.76,8.655,1940
27.74,26.865,8.77,8.66,1941
27.19,26.918,8.73,8.662,1942
26.53,26.935,8.76,8.704,1943
26.85,26.948,8.85,8.726,1944
26.7,26.92,8.58,8.732,1945
26.93,26.904,8.68,8.745,1946
27.07,26.926,8.8,8.755,1947
27.26,26.984,8.75,8.744,1948
26.86,26.985,8.59,8.727,1949
26.88,27.001,8.37,8.688,1950
27.1,26.937,8.63,8.674,1951
27.28,26.946,8.64,8.665,1952
27.44,27.037,8.87,8.676,1953
27.03,27.055,8.56,8.647,1954
26.81,27.066,8.63,8.652,1955
26.79,27.052,8.28,8.612,1956
27.24,27.069,8.73,8.605,1957
27.55,27.098,8.77,8.607,1958
27.38,27.15,8.73,8.621,1959
27.31,27.193,8.58,8.642,1960
27.04,27.187,8.8,8.659,1961
26.73,27.132,8.75,8.67,1962
26.81,27.069,8.86,8.669,1963
27.2,27.086,8.41,8.654,1964
27.21,27.126,8.53,8.644,1965
27.46,27.193,8.6,8.676,1966
27.01,27.17,8.7,8.673,1967
26.9,27.105,8.52,8.648,1968
27.34,27.101,8.6,8.635,1969
26.84,27.054,8.7,8.647,1970
26.71,27.021,8.6,8.627,1971
27.68,27.116,8.5,8.602,1972
27.63,27.198,8.95,8.611,1973
27.01,27.179,8.47,8.617,1974
26.72,27.13,8.74,8.638,1975
27.12,27.096,8.35,8.613,1976
27.32,27.127,8.85,8.628,1977
27.01,27.138,8.69,8.645,1978
27.67,27.171,8.73,8.658,1979
27.7,27.257,8.98,8.686,1980
27.1,27.296,9.17,8.743,1981
27.43,27.271,8.64,8.757,1982
27.35,27.243,9.03,8.765,1983
27.38,27.28,8.69,8.787,1984
27.51,27.359,8.66,8.779,1985
27.71,27.418,8.83,8.827,1986
27.54,27.44,8.99,8.841,1987
27.44,27.483,9.2,8.892,1988
27.06,27.422,8.92,8.911,1989
26.91,27.343,9.23,8.936,1990
27.35,27.368,9.18,8.937,1991
27.24,27.349,8.84,8.957,1992
27.24,27.338,8.87,8.941,1993
27.07,27.307,9.04,8.976,1994
27.24,27.28,9.35,9.045,1995
27.37,27.246,9.04,9.066,1996
27.47,27.239,9.2,9.087,1997
27.87,27.282,9.52,9.119,1998
27.24,27.3,9.29,9.156,1999
27.23,27.332,9.2,9.153,2000
27.56,27.353,9.41,9.176,2001
27.67,27.396,9.57,9.249,2002
27.84,27.456,9.53,9.315,2003
27.23,27.472,9.32,9.343,2004
27.49,27.497,9.7,9.378,2005
27.47,27.507,9.53,9.427,2006
27.55,27.515,9.73,9.48,2007
27.45,27.473,9.43,9.471,2008
28.03,27.552,9.51,9.493,2009
27.69,27.598,9.7,9.543,2010
27.41,27.583,9.52,9.554,2011
28.02,27.618,9.51,9.548,2012
28.85,27.719,9.61,9.556,2013
